index,identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
42222,4600668774400985691,user,Royaume-Uni,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,354,3197,106.57,8.88,gb
42223,-4365366722725127600,user,Italie,it,4,10,4,0,0,0.0,2,1,F,3,miss,False,False,False,True,214,3197,106.57,8.88,it
42224,-8165031240873769556,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42225,320799399120386349,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42226,-3434400398039160936,user,Allemagne,de,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,de
42227,-3761385622632743334,user,Espagne,es,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,es
42228,8460911049318295848,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,453,3197,106.57,8.88,us
42229,-5417951951894334055,user,Brésil,en,4,8,0,0,0,0.0,20,0,F,2,mrs,False,False,False,True,648,3197,106.57,8.88,br
42230,-2521293656679861898,user,Pays-Bas,en,4,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,nl
42231,-31349139824209584,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,us
42232,2504331429719503071,user,Allemagne,de,4,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,de
42233,-8870357068584001496,user,France,fr,4,8,0,0,0,0.0,0,1,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42234,-8618427897081286765,user,Italie,it,5,8,3,10,7,100.0,0,0,F,2,mrs,True,False,True,False,14,3197,106.57,8.88,it
42235,-9101115311353342339,user,Ukraine,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,322,3197,106.57,8.88,ua
42236,-4974190539612448694,user,Irlande,en,4,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,3197,106.57,8.88,ie
42237,-2731406235713278632,user,Belgique,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,be
42238,-699700515834178228,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42239,-6970445531574409132,user,Belgique,fr,4,8,1,0,0,0.0,1,0,F,2,mrs,True,False,True,True,681,3197,106.57,8.88,be
42240,4892795369274438395,user,Italie,it,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,it
42241,-6810787819488990450,user,France,fr,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42242,-2071142092920959984,user,Chine,fr,4,9,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,666,3197,106.57,8.88,cn
42243,-6012826342078714192,user,Etats-Unis,en,4,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42244,2265852051585185730,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,681,3197,106.57,8.88,us
42245,-9011631221251034955,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42246,1754873647842509807,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,206,3197,106.57,8.88,gb
42247,4981793780414977461,user,Portugal,es,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,pt
42248,-3255708285721897650,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42249,-3195754657256896495,user,France,fr,3,8,2,0,0,0.0,2,0,M,1,mr,True,True,False,True,664,3197,106.57,8.88,fr
42250,-1642966355698534040,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42251,3777959461140001973,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42252,3332979534285450996,user,Canada,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,ca
42253,4369815562844982677,user,Canada,en,3,8,0,0,0,0.0,3,0,F,2,mrs,True,False,True,True,630,3197,106.57,8.88,ca
42254,-3220411585825169004,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
